DANH MỤC DỊCH VỤ,MÔ TẢ,ĐƠN VỊ,GIÁ DỊCH VỤ (CHƯA VAT)
CẠO VÔI & ĐÁNH BÓNG,Trẻ em,CẢ HÀM,"100.000 – 200.000"
CẠO VÔI & ĐÁNH BÓNG,Người lớn,CẢ HÀM,"300.000 – 500.000"
CẠO VÔI & ĐÁNH BÓNG,Điều trị nha chu,1 RĂNG,200.000
TRÁM RĂNG,Trám răng cho trẻ em,1 RĂNG,200.000
TRÁM RĂNG,Trám thẩm mỹ cho người lớn,1 RĂNG,"300.000 – 500.000"
NHỔ RĂNG,Răng sữa,1 RĂNG,"50.000 – 100.000"
NHỔ RĂNG,Răng cửa, chân răng,1 RĂNG,"400.000 – 500.000"
NHỔ RĂNG,Răng hàm,1 RĂNG,"500.000 – 1.000.000"
NHỔ RĂNG,Răng khôn (tùy độ khó),1 RĂNG,"3.000.000 – 5.000.000"
TIỂU PHẪU THUẬT,Cắt chóp răng,1 RĂNG,2.000.000
TIỂU PHẪU THUẬT,Cắt nướu,1 RĂNG,1.500.000
NỘI NHA,Răng sữa,1 RĂNG,"300.000 – 500.000"
NỘI NHA,Răng cửa vĩnh viễn,1 RĂNG,"500.000 – 1.000.000"
NỘI NHA,Răng tiền hàm,1 RĂNG,"900.000 – 1.500.000"
NỘI NHA,Răng hàm,1 RĂNG,"1.000.000 – 2.000.000"
NỘI NHA,Điều trị lại ống tủy,1 RĂNG,"2.000.000 – 4.000.000"
GẮN ĐÁ TRANG TRÍ RĂNG,Kim cương của Khách hàng,ĐƠN VỊ,500.000
GẮN ĐÁ TRANG TRÍ RĂNG,Kim cương nhân tạo (của Phòng khám),ĐƠN VỊ,1.000.000
GẮN ĐÁ TRANG TRÍ RĂNG,Đá tự nhiên (của Phòng khám),ĐƠN VỊ,"Tùy theo loại"
TẨY TRẮNG RĂNG,Tại phòng khám,LIỆU TRÌNH,3.000.000
TẨY TRẮNG RĂNG,Super white (tại phòng khám + 1 khay + 2 tuýp),LIỆU TRÌNH,5.000.000
TẨY TRẮNG RĂNG,Tại nhà (bao gồm 2 tuýp + 1 khay),LIỆU TRÌNH,2.000.000
TẨY TRẮNG RĂNG,Tuýp thuốc bổ sung,TUÝP,500.000
TẨY TRẮNG RĂNG,Khay tẩy trắng,ĐÔI,350.000
CHỈNH NHA,Niềng kim loại (Đơn giản – phức tạp),LIỆU TRÌNH,"35.000.000 - 45.000.000"
CHỈNH NHA,Niềng tự động (Self-Ligating),LIỆU TRÌNH,"40.000.000 - 50.000.000"
CHỈNH NHA,Niềng mắc cài sứ (Đơn giản – phức tạp),LIỆU TRÌNH,"45.000.000 - 55.000.000"
